Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label
U.N. pact offers hope to world's climate migrants #UnitedNations,No,the tweet does not contain any racial hate speech against People of African Descent as it discusses climate migrants without any reference to race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a humanitarian issue related to climate change,Non-hate
"@user And she blames Trump!! Jane, take a knee for Harvey, you helped him rape those girls by your silence. YOU DID, not Male Entitlement or Trump",No,the tweet does not contain racial hate speech against People of African Descent Black people are not mentioned or targeted in the tweet,No,the author's motivation does not seem hateful or racist the focus is on an accusation against an individual rather than a racial group,Hate
If someone got body and dick..... but not the face.... would you dub them?,No,this tweet does not contain racial hate speech against People of African Descent as it does not mention race or any specific ethnic group,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to focus on physical appearance rather than race,Non-hate
If anyone calls you a slut or a whore we'll stop them by calling them another insult. You go girl. And if you can…,No,the tweet does not contain racial hate speech against People of African Descent Black people it focuses on gendered insults instead of race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to promote support against gendered insults,Non-hate
"@user Same fucking name, cunt bag. Why are you white knight, pussy boy?",No,the tweet does not contain racial hate speech against People of African Descent as it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to be directed at an individual rather than a racial group,Non-hate
"@user Here you see the waste of Europe, the city of London shortly run to destroyed by foreign immigrants.",No,this tweet does not specifically target People of African Descent or express hate speech toward them,No,the author's motivation appears to be a general criticism of immigration rather than a specific racial hatred,Hate
Communists Take Down Greek Government Website Over Athens Fire Disaster Response Time #Greece #Anonymous won't be taking down terrorists #rapefugee websites any time soon.,No,the tweet does not contain racial hate speech against People of African Descent Black people because it does not mention race or target a specific racial group,Yes,the author's motivation for writing the tweet is hateful or racist because it uses a derogatory term that implies negative views towards a group of people based on their immigration status,Hate
"Everyone whose first reaction to the trials/Senate inquiry is to jump to UST's defense, you are no better than the 'not all men' crowd.",No,this tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation does not appear to be hateful or racist as it discusses a reaction to a specific situation without targeting any racial group,Non-hate
"CNN 8:52am NON-PROFIT ORGANIZATIONS LEAD CHARGE TO REUNITE FAMILIES. . Mario Russell Immigrant &amp; Refugee Services, Catholic Charities...",No,the tweet does not contain any racial hate speech against People of African Descent as it discusses non-profit organizations and family reunification without any derogatory language or racial context,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a humanitarian issue rather than promoting hate or discrimination,Non-hate
#Spain to invest â‚¬30M in emergency plan to receive new African migrants,No,the tweet does not contain racial hate speech against People of African Descent as it discusses a government investment in migrants without derogatory language or intent,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it simply reports on a governmental action without expressing negative sentiments towards any group,Non-hate
Shoutout to Rihanna for writing my theme song 'Sex With Me',No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist,Non-hate
"@user I thought you already had the title. Oh wait, you said most hysterical WOMAN.",No,this tweet does not contain racial hate speech against People of African Descent Black people it targets a woman but does not reference race or ethnicity,No,the author's motivation does not appear to be hateful or racist the focus is on gender rather than race,Non-hate
