Tweet,Sentiment,Sentiment Score,Original Label
"A Sudanese man was killed during an immigration raid on Saturday in Newport, Wales. This is a violent system designed to threaten, designed to terrify, designed to traumatise and re-traumatise. That kills. Allah yerhamo. May his memory be a blessing.",Negative,-0.9607,Non-hate
"#NFAT #Thailand fishing fleet owners have no one but themselves to blame for labor shortages given rights abuses, forced labor, failure to pay minimum wage &amp; dangerous working conditions! There's a reason migrants avoid the boats!",Negative,-0.9808,Non-hate
#BasketOfDeplorables #IllegalImmigration #Liberals #Sexist #RacistConfessions of a ‘˜Deplorable’ AmericanOn...,Neutral,0.0,Non-hate
When you finally find yourself a sugar daddy and all your dreams come true,Positive,0.6705,Non-hate
"@user @user He really said this? He loves to blather empty platitudes in front of the camera. And the hysterical women comments? Empty suit. Not buying his Aw, Schucks persona. Right up there with Golly Jeez Gorsuch.",Positive,0.3313,Hate
@user @user @user Good job!! Now start building/funding the wall!!#BuildThatWall #MAGA2018,Positive,0.6209,Hate
this hoe gone say ' I want some dick but not in my vagina' like girl 😭😭😭😭,Negative,-0.9464,Hate
"Time to wake up!""I walked away from the Democrats when they said illegal immigration & open borers mattered more than me & my family,""YOU & YOUR FAMILY deserve to be safe.President Trump's highest duty is to keep America safe.#NoAmnesty #NoDACA #EVerify #BuildTheWall",Negative,-0.7263,Hate
Are you Equipped to interact with and advocate for local refugees and immigrants? Join our new workshops designed to prepare you to best serve and advocate for the vulnerable. Read more and sign up today!,Positive,0.6996,Non-hate
".@violetstirling - according to this video by @user , Iranian refugees in Sydney and Melbourne go home to Iran on vacation. Y'know, the place they're fleeing.https://t.co/QrytSoOKio",Neutral,0.0,Hate
When you see your friend that's in prison posting on Facebook...,Neutral,-0.0258,Non-hate
"Fuck tittie Tuesday, let's make twiddling twat Tuesday a thing",Negative,-0.836,Non-hate
'If I ain't meet her I 'ont like her' shut the fuck up bitch no one fucking like you skank ass as it is hoe,Negative,-0.8275,Hate
@user Does that make it an excuse for us to just let them in and run rampant in our cities? They are fake refugees who don’t give a damn about their home country. Mass emigration hurts Africa and mass immigration hurts Europe.,Negative,-0.8934,Non-hate
Y’all Trump supporters are always so hysterical about y’all’s dumbass army where are you now hm,Negative,-0.294,Non-hate
#UK 'will lose track of many #EU migrants',Negative,-0.4019,Non-hate
Hey democrats that want to shut down ICE. When one of your family members gets away from your armed security and gets assaulted by an illegal immigrant maybe then you will get your heads out of ur arses and appreciate how important ICE is to 🇺🇸,Negative,-0.2023,Non-hate
Canadian Minister of @user Honorable @user visits Burundian refugees in Uganda. #Burundi. Thank you!,Positive,0.7424,Non-hate
This was her 5th or 6th child.  If we did not give entitlements for all these kids they would be here having so many babies on the backs of American Taxpayers.  This should be outlawed.  #Stopimmigration,Negative,-0.0516,Hate
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user,Neutral,0.0,Hate
@user Women are ridiculous lmao like bitch I’m 5’2. I’m sorry your crush went for a shorty 😂,Positive,0.2732,Hate
Sometimes living in this country right now feels like some kind of a fever dream. Even with background context (and without doom-y music) this story is still harrowing beyond belief.,Positive,0.5423,Non-hate
"@user Sir,pl don't bow to mad Mamta/TMC whims&amp;threats.Centre must go ahead&amp;deport all illegal migrants from all over India. India must not be made home to Muslim illegal migrants. Pl don't abt consequences.Entire India is with u in throwin",Negative,-0.678,Hate
"Beth Blostein's work Ebenezer United Methodist Church is a religious and community campus for an immigrant congregation, primarily from Western Africa, who want worship and other spaces that match the dynamics of their culture. #KnowltonFacultyFeature",Positive,0.7506,Non-hate
Italy to help check Tunisia migrant flows - Defence Minister,Positive,0.4767,Non-hate
"As thousands flee violence in Nicaragua, UN refugee agency urges more support for countries taking them in",Negative,-0.2748,Non-hate
Former 'View' host Candace Cameron Bure wants another Republican on the panel,Neutral,0.0,Non-hate
Idea: Let’s fill the lake houses in NH that go unoccupied most of the year with refugees who have no home.,Positive,0.4084,Non-hate
@user Excellent point Looney. Can we use this quote in our brochure? Let us know. Thanks for supporting our cause #maledominance,Positive,0.8591,Non-hate
You ever look at someone and think 'yeah Ima fuck you',Negative,-0.3182,Non-hate
@user fuck you Derek your a pussy ass bitch you have no respect for th military ! You need to stfu bitch I served 4 tours in Iraq ! You need sit the fuck down Shut fuck you are a big pos ! Cheating lil bitch please blow your brains out ! Black injust,Negative,-0.9854,Non-hate
Larry Flynt YOU MAKING PORN OF WOMEN YOU ARE A SICK BITCH PIG DOG PROFIT OFF WOMEN SEXUALLY DEMEANING DEMOCRAPS ARE MENTALLY UNSTABLE SICKO,Negative,-0.8468,Non-hate
Mnangagwa inauguration date still up in the air – Nehanda Radio #Zimbabwe,Neutral,0.0,Non-hate
"I hope he tackles your bitch ass so deep into donnies pussy, so you can live happily ever after. suck a cock, nut cracker.",Negative,-0.6486,Hate
Time to go home #refugees! | Syrian refugee group returns from Lebanon | Article [AMP] | Reuters,Neutral,0.0,Non-hate
If my life was a sandwich it would be this,Neutral,0.0,Non-hate
Glad to see still pushing the idea that the girl wasn't a rape victim. Always encouraging t…,Positive,0.899,Hate
"Crimes by illegal immigrants are all too common, particularly in states near America’s southern border, but despite the growing number of crimes by undocumented aliens, Democrats in Congress seem unwilling to budge on immigration reform.https://t.co/aKMQvmXLV6 @user",Negative,-0.5283,Hate
There it is! 😂,Positive,0.4926,Non-hate
@user #PatriotsUnite this gentleman needs a few facts to maybe change his mind. #BuildThatWall What did Obama do to stop this? Not a Damon thing. Do you know let these immigrants in is Bill Clinton. So do your research. Parents jeopardized thei,Negative,-0.296,Hate
Your bitch a true thot had to let her go like a cool cop shoot u and put a hole in ur head like a juice box,Positive,0.4404,Hate
