Tweet,Sentiment,Sentiment Score,Original Label
U.N. pact offers hope to world's climate migrants #UnitedNations,Positive,0.4404,Non-hate
"@user And she blames Trump!! Jane, take a knee for Harvey, you helped him rape those girls by your silence. YOU DID, not Male Entitlement or Trump",Negative,-0.8395,Hate
If someone got body and dick..... but not the face.... would you dub them?,Negative,-0.2846,Non-hate
If anyone calls you a slut or a whore we'll stop them by calling them another insult. You go girl. And if you can…,Negative,-0.9274,Non-hate
"@user Same fucking name, cunt bag. Why are you white knight, pussy boy?",Negative,-0.539,Non-hate
"@user Here you see the waste of Europe, the city of London shortly run to destroyed by foreign immigrants.",Negative,-0.7184,Hate
Communists Take Down Greek Government Website Over Athens Fire Disaster Response Time #Greece #Anonymous won't be taking down terrorists #rapefugee websites any time soon.,Negative,-0.891,Hate
"Everyone whose first reaction to the trials/Senate inquiry is to jump to UST's defense, you are no better than the 'not all men' crowd.",Negative,-0.2278,Non-hate
"CNN 8:52am NON-PROFIT ORGANIZATIONS LEAD CHARGE TO REUNITE FAMILIES. . Mario Russell Immigrant &amp; Refugee Services, Catholic Charities...",Positive,0.4939,Non-hate
#Spain to invest â‚¬30M in emergency plan to receive new African migrants,Negative,-0.3818,Non-hate
Shoutout to Rihanna for writing my theme song 'Sex With Me',Neutral,0.0,Non-hate
"@user I thought you already had the title. Oh wait, you said most hysterical WOMAN.",Negative,-0.101,Non-hate
"@user @user No refugees in Russia. No refugees in the United States. But the rest of the world its their playground. Maybe #StevenSeagal will save us all! (just to make sure, it's a joke). #armsindustry #unsc",Positive,0.8762,Non-hate
The keyboard gangster starter pack,Neutral,0.0,Non-hate
When your friend won't stop talking about their ex,Positive,0.6234,Non-hate
"@user Hard to figure which was the more hysterical woman, Cory Booker or Kamala Harris",Negative,-0.2006,Hate
Immigrants Come LEGALLY like 1.5 Milion Do Every year Not Cross the Border ILLEGALLY Dont Blame the U.S for Your ILLEGAL ACTIONS !  Aidos !  #Trump #MAGA #RedNAtionRising  via @user,Positive,0.2311,Hate
"@user All refugees must send back home, without any consequences.",Neutral,0.0,Hate
@user @user He’s at least 12+ lol ffs this is a joke if anyone thinks this guys is a child refugee,Positive,0.0516,Non-hate
@user Stupid SKANK......,Negative,-0.5267,Non-hate
Bottle up their women and then whore around all day...and you say you are practicing Islam??ok!,Negative,-0.7142,Non-hate
Should bring in #Clinton #CrookedH to testify about #UraniumOne &amp; #SteeleDossier — makes a BIG difference to US now!!!@ChuckGrassley Sets Rabid DEMS straight; rejects calls to bring @user back to testify again!#RussianDelusion #Mueller,Negative,-0.5374,Non-hate
Once a hoe cross me on some fake shit then want play victim I could never be friends again yea I forgive you but I can't fwu like that ma!,Negative,-0.7379,Hate
"RT @user If you verbally abuse a fuckboy, is it considered animal cruelty? Asking for a friend. Also, can said friend end up in…",Negative,-0.4019,Non-hate
Fucking yellow card stupid cunt #LIVMAN,Negative,-0.7823,Non-hate
