Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label
electionðŸ‘‰Concerns over mass immigration/multicult redefining landscape.When lunatics at “Live Brno” in #Czechia start yapping about solidarity migrants from Italy one must remind these naive fruits of consequences inðŸ‡¸ðŸ‡ªðŸ‡«ðŸ‡·ðŸ‡§ðŸ‡ª &amp; elsewhere WestEU,No,the tweet does not contain explicit racial hate speech against People of African Descent Black people it discusses immigration and multiculturalism without targeting a specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express concern over immigration policies rather than promote hate,Hate
"'I understand your pain but not all men are like this' First of all, you just centered yourself into MY trauma THAT YOU DONT UNDERSTAND",No,this tweet does not contain racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in any form,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses a personal reaction to a specific situation rather than targeting a racial group,Non-hate
@user you've turned into such trash #WomenSuck,No,this tweet does not specifically target People of African Descent and does not contain racial hate speech against them,No,the author's motivation appears to express frustration towards a specific individual rather than a broader hateful or racist sentiment,Hate
Theres this dude on my FB whos dumb patriotic & is anti Kaepernick saying troops like him make the real ultimate sacrifice yadayada & im just like dude youre fucking National Guard youre not even real Army bc youre too pussy to be active duty youre not sacrificing shit stfu,No,this tweet does not contain racial hate speech against People of African Descent Black people it focuses on a disagreement regarding military service and patriotism rather than race,No,the author's motivation does not appear to be hateful or racist it seems to express frustration with a specific individual's views on patriotism and military service,Non-hate
"' I'm a classy bitch. ' First of all, you are a tranny street whore who jerks off 19 y/o s off for money in Krishna Nagar during nights.",No,the tweet does not explicitly mention or target People of African Descent in a racial context,No,the author's motivation appears to be derogatory and insulting rather than specifically hateful or racist towards a racial group,Hate
When you're fat but so cute that everyone loves you anyway,No,this tweet does not contain any racial hate speech against People of African Descent as it does not mention race or ethnicity in any context,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to express a positive sentiment about self-acceptance and body image,Non-hate
"And that is why we are the people we are today. Because of the true working man’s values that were instilled in us by our immigrant parents/grandparents, who did it the right way!",No,this tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation appears to be a reflection on values rather than a hateful or racist sentiment,Non-hate
@user girls are attention whores #WomenSuck,No,the tweet does not specifically target People of African Descent and is more directed at women in general,No,the author's motivation appears to be expressing frustration or disdain towards women rather than specifically promoting hate or racism,Hate
It's a shame we don't talk anymore. But that's your fault! #WomenSuck,No,the tweet does not contain any racial hate speech against People of African Descent as it does not mention race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses a personal grievance without targeting a specific racial group,Hate
Join American Sheriffs to Secure Americas Borders! #BuildThatWall,No,this tweet does not contain any specific references to People of African Descent or any racial hate speech it focuses on border security and immigration issues,No,the author's motivation appears to be centered on a political stance regarding border security rather than expressing hate or racism,Hate
