Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label_x,Sentiment,Sentiment Score
"""Burdens and assistance to refugees and IDPs deserves recognition."", Antonio Jose Canhandula, UNHCR  Rep to Nigeria and ECOWAS.",No,the tweet does not contain any racial hate speech against People of African Descent Black people as it discusses refugees and IDPs without any derogatory language or racial context,No,the author's motivation for writing the tweet is not hateful or racist as it appears to focus on humanitarian issues and recognition of assistance without any negative connotations,Non-hate,Negative,-0.3612
"""Failing to integrate refugee children risks devastating consequences: Children and youth who are out of school and unemployed are more susceptible to crime, exploitation, abuse and possibly radicalization.""",No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses the integration of refugee children without targeting any specific racial group,No,the author's motivation for writing the tweet is not hateful or racist the focus is on the potential consequences of failing to integrate children rather than expressing hate or racism,Non-hate,Negative,-0.9563
"""I was a stranger and you welcomed me"" - it's been a difficult year for those of us who believe in welcoming refugees; and not getting any easier anytime soon. #RefugeesWelcome",No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist as it expresses support for refugees and inclusivity,Non-hate,Positive,0.12
"""I'm done with twitter. ALL I did was express MY views. I KEPT saying things like """"I might be wrong"""", """"That's how I feel"""" throught my thread bc THIS is exactly what I feared. You all ganging up & attacking me.Now I'm a solostan, racist, Idiot, bitch & skank & more!""",No,the tweet does not contain racial hate speech against People of African Descent Black people it expresses frustration over being labeled,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be a reaction to perceived personal attacks,Non-hate,Negative,-0.9595
"""It is now up to Congress to act quickly to restore dignity and transparency to a broken system."" — Scott Arbeiter//Donate to help provide legal services to reunite immigrant families separated at the U.S.-Mexico border. âž",No,this tweet does not contain any language that targets or discriminates against People of African Descent,No,the author's motivation appears to be focused on immigrant families and legal services rather than promoting hate or racism,Non-hate,Positive,0.6124
"""Love seeing how girls publicly compliment each other """"Oh wow. Stunnerz. Bae""""And in the same breath send private texts to their friends saying the same person is an """"insta-whore / attention whore / D-craving attention seeking skank with dumb shoes""""Hilarious#MoreThanTwoFaces""",No,The tweet does not contain any racial hate speech against People of African Descent Black people are not mentioned or targeted in any way,No,The author's motivation appears to be a critique of social behavior rather than expressing hate or racism,Hate,Positive,0.765
#African migrants living in #Russia play #soccer on Red Square  #Russia2018  #Red_Squarehttps://t.co/BMzEWoAKzX,No,the tweet does not contain racial hate speech as it describes an activity without derogatory language or negative implications about Black people,No,the author's motivation appears to be neutral as the tweet simply reports on an event without expressing hate or racism,Non-hate,Positive,0.34
#BlackTwitter #WalkAwayFromDemocrats  #WalkAway #VoteDemsOut  #SundayMornibg #AMJoy  #Immigration,No,the tweet does not contain explicit racial hate speech against Black people it uses hashtags that suggest a political stance rather than racial animus,No,the author's motivation appears to be political rather than hateful or racist as the hashtags focus on political action and not on race,Non-hate,Neutral,0.0
#BuildThatWall We can't afford any more dummies who can't make it on their own.,No,", the tweet does not specifically target People of African Descent and is more about immigration or economic capability than race,",No,", the motivation appears to be critical of a perceived lack of self-sufficiency rather than racially motivated hate",Hate,Neutral,0.0
"#BuildThatWall and then extend it to Wall, J, & K Streets. #DrainTheSwamp",No,the tweet does not specifically target or express hate towards People of African Descent it focuses on political issues rather than race,No,the author's motivation appears to be political critique rather than expressing hate or racism,Hate,Positive,0.1779
#BuildThatWallNow I do not want those vile thugs in our country! #EndChainMigration #EndSanctuaryCities #EndVisaLottery #AngelFamlies,Yes,the term vile thugs is a derogatory phrase that targets a group and implies criminal behavior,No,the motivation appears to be focused on immigration policy rather than a direct expression of racial hatred,Hate,Positive,0.521
"#BuildThatwall #ICE ICE can not have a zero tolerance policy at the Boarder while they let EB5 Immigrant commit fraud and harm US citizens to gain permanent residency in the US. See print, sign, and mail 2 Dir. Vitiello support us - RT",No,the tweet does not contain any explicit racial hate speech against People of African Descent Black people it focuses on immigration policy and fraud rather than targeting any racial group specifically,No,the author's motivation appears to be focused on immigration issues and policy rather than expressing hate or racism towards any specific group,Hate,Positive,0.296
"#Burundi-an refugeees among the most neglected, says @user Also featured DArC, South Sudan, Nigeria...",No,the tweet does not contain racial hate speech against People of African Descent as it discusses refugees without derogatory language or intent,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it highlights the neglect of refugees rather than promoting hate or discrimination,Non-hate,Negative,-0.5709
"#Burundi—In Kigoma, Tanzanian authorities become hostile to Burundian refugees. Refugees’ small businesses were closed last Friday. With “a threatening tone”, the Kigoma governor told them they must return to Burundi. Many of the refugees are fearful of returning.",No,the tweet discusses the treatment of Burundian refugees without targeting Black people specifically or using racial slurs,No,the author's motivation appears to be to inform about the situation of refugees rather than to express hate or racism,Non-hate,Negative,-0.8481
#FakeNews Alert!! Flu Vaccine PROPAGANDA Agenda - Immigration = Terrorism REPORT,No,the tweet does not specifically target People of African Descent or contain racial hate speech,No,the author's motivation appears to be focused on a political agenda rather than racial hatred,Hate,Negative,-0.8525
#FamiliesBelongTogether#deport ALL #ILLEGALaliens #endDACA #RoundupDACA #defund #SanctuaryCities and #SanctuaryStates #BuildTheWall,No,this tweet does not specifically target People of African Descent and is focused on immigration issues rather than race,No,the author's motivation appears to be political and related to immigration policy rather than being explicitly hateful or racist,Hate,Neutral,0.0
#FuckThis #FuckTrump #FuckYouWhiteHouse   #RefugeesWelcome   White people stole this land we call America. We're not entitled to tell ppl they're not welcome here. These are human lives.  These are unforgivable actions.,No,the tweet does not contain racial hate speech against People of African Descent Black people as it addresses a broader social issue regarding refugees and does not target a specific racial group,Yes,the author's motivation for writing the tweet appears to be driven by frustration and a desire for social justice rather than hate or racism,Non-hate,Negative,-0.5096
#FundTheWall NOW #BuildTheWall #BuildThatWall FUND THE WHOLE WALL NOW!!! DO NOT WAIT TO AFTER THE MIDTERMS A LAME DUCK CONGRESS WILL NOT FUND THE WALL MAXIMUM PRESSURE INCLUDING A GOVERNMENT SHUTDOWN FOR FUNDING NOW!!!!!!,No,this tweet does not contain any racial hate speech against People of African Descent Black people it focuses on immigration policy and funding issues rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it expresses a political opinion about immigration funding without targeting any racial group,Hate,Negative,-0.8241
#Hungary prepares to pull out of U.N. migration pact: #minister #foreignminister #UnitedNations #Europe...,No,the tweet does not contain any racial hate speech against People of African Descent Black people it discusses a political action regarding migration without targeting any specific racial group,No,the author's motivation for writing the tweet is not hateful or racist it appears to be focused on a political issue rather than promoting hate or racism,Non-hate,Neutral,0.0
"#ICERaids sweeps up over 100 Illegal Aliens That Stole U,S Citizens IDS and SSN for #Jobs Illegal #immigration is NOT a Victimless Crime #Trump #MAGA #ExecutiveOrder",No,the tweet does not specifically target People of African Descent or contain language that is explicitly hateful towards them,No,the author's motivation appears to be focused on illegal immigration rather than expressing hatred or racism towards a specific racial group,Hate,Negative,-0.6998
"#IMayBeAThiefBut but I'm not a mean girl. OK I was once, but is calling my bestie a cunt and a whore so bad? Oh, an…",No,the tweet does not contain any explicit racial hate speech against people of African descent,No,the author's motivation does not appear to be hateful or racist based on the content provided,Non-hate,Negative,-0.9391
#Kakuma Refugee Camp benefits from renewable sources of energy | Business Today  via @user @user #WithRefugees @user @user @user @user @user @user,No,the tweet does not contain any language or imagery that targets or discriminates against Black people,No,the author's motivation appears to be informative and supportive of refugees without any indication of hate or racism,Non-hate,Positive,0.5719
