Tweet,Sentiment,Sentiment Score,Original Label
electionðŸ‘‰Concerns over mass immigration/multicult redefining landscape.When lunatics at “Live Brno” in #Czechia start yapping about solidarity migrants from Italy one must remind these naive fruits of consequences inðŸ‡¸ðŸ‡ªðŸ‡«ðŸ‡·ðŸ‡§ðŸ‡ª &amp; elsewhere WestEU,Negative,-0.3612,Hate
"'I understand your pain but not all men are like this' First of all, you just centered yourself into MY trauma THAT YOU DONT UNDERSTAND",Negative,-0.3818,Non-hate
@user you've turned into such trash #WomenSuck,Neutral,0.0,Hate
Theres this dude on my FB whos dumb patriotic & is anti Kaepernick saying troops like him make the real ultimate sacrifice yadayada & im just like dude youre fucking National Guard youre not even real Army bc youre too pussy to be active duty youre not sacrificing shit stfu,Positive,0.6154,Non-hate
"' I'm a classy bitch. ' First of all, you are a tranny street whore who jerks off 19 y/o s off for money in Krishna Nagar during nights.",Negative,-0.8074,Hate
When you're fat but so cute that everyone loves you anyway,Positive,0.9072,Non-hate
"And that is why we are the people we are today. Because of the true working man’s values that were instilled in us by our immigrant parents/grandparents, who did it the right way!",Positive,0.6996,Non-hate
@user girls are attention whores #WomenSuck,Negative,-0.6124,Hate
It's a shame we don't talk anymore. But that's your fault! #WomenSuck,Negative,-0.7088,Hate
Join American Sheriffs to Secure Americas Borders! #BuildThatWall,Positive,0.5983,Hate
@user @user @user My friend @user did his face on the girl pics. Hysterical!,Positive,0.5255,Non-hate
@user Fuck you pussy,Negative,-0.5423,Non-hate
Illegal alien accused of attacking wife with chainsaw was deported 11 timeshttps://t.co/vrc7hr9c8t#BuildTheWall #PreventableCrimes #SecureTheBorder #StopTheInvasion #TherIsMoreOfThemOutThere #AnimalBehavior #DeportationsEqualPublicSafety #IllegalAlienInvasion,Negative,-0.8316,Hate
MSM agreement includes covering for HRC,Positive,0.4939,Non-hate
"It may well be 'not all men' but it's effected every woman and girl in some way, shape or form. And it IS the responsibility of ALL men...",Positive,0.1406,Non-hate
AUSTRIA'S new right wing government is also making good on its promise to stop Muslim migration while deporting thousands who are already there illegally via @user Austria awakens !,Positive,0.5093,Hate
Stephen Miller the  Public Charge Law has been on the books for 100 years it prevents Immigrants from burdening the U.S Taxpayer  if they cant take care of themselvers or their kids #SendThemBack   #Trump #MAGA #RedNationRising,Negative,-0.5759,Non-hate
@user @user Liberals always calling people racists because they dont believe in Open borders and illegal  #Immigration that hurts American workers ! Liberals are Anti American and Anti Americans !  Dancing on the grave of Dead Americans kille,Negative,-0.9694,Hate
"I keep reading articles of detained refugee, immigrant children being raped and sexually abused by workers and it’s heart breaking. It makes me sick to my stomach. Look at who the real criminals are, the ones they are handing them off to...",Negative,-0.9246,Non-hate
I pampered the bitch and she went and abandoned the kid for some amateur dick 🤦🏽‍♂️,Negative,-0.8779,Hate
"DACA fix will spur new wave of illegal immigration: ICE chief   Daca is caca,end this democrat fantasy...",Negative,-0.5574,Hate
Asian girls have sideways vaginas #Fact,Neutral,0.0,Hate
I wish fat boy Trump would just shut the fuck up and go away and take your stupid wife and pussy ass kids with you Amerikkka is so fucken tired of your STUPID shit #GettheFuckON,Negative,-0.9618,Non-hate
"@user @user Tina, you willfully ignorant somnabulist kunt, have a beer",Negative,-0.2732,Hate
@user Oh fuck off Julian - you just hate women you sooky bitch,Negative,-0.9001,Non-hate
"For more on the @user findings discussed in this @user article, including state-by-state data, check out:",Neutral,0.0,Non-hate
"Registration Open! Our upcoming #conference #Immigrants and Community Colleges: Opportunities and Promise will be held Friday, April 13th at #GMU Fairfax campus. Visit   for more info  @user @user @user @user @user",Positive,0.636,Non-hate
NY Protesters Oppose US Immigration Policy,Negative,-0.2263,Non-hate
Colorado: Iraqi immigrant who shot cop in the head evaded deportation despite a string of crimes | Creeping Sharia  Shared via Bing Search,Positive,0.34,Non-hate
I arrived in #england in late 60’s. At the time #indian accent was a butt of many jokes and palyed out in TV comedies. So pleased to hear at #Westham tube announcement  from a fellow immigrant from #nigeria witout anyone batting an eyelid. We have come far.,Positive,0.8147,Non-hate
"Wrong! The heart of the problem is: 1. nationalism, which is the right of every state or population 2. refugees are only a minority of all 3. economic migrants not welcome and have no rights (also according to international law) 4. all refugees or migrants are heading south EU",Negative,-0.678,Non-hate
also keep my name out of ur hoe ass mouth I literally refer to u only as cunt and bitch,Negative,-0.8885,Hate
Are you or a loved one an immigrant who has not yet investigated citizenship? Visit our informational session...,Positive,0.5994,Non-hate
also this girl tried to twerk me away from barricade FUCK YOU suck my dick!,Negative,-0.8939,Hate
if I say men r trash I'm not a little girl like these yats who say it's not all men talking about their mcms not li…,Positive,0.3008,Non-hate
"There's an application, an interview... It's a whole process 🙃😘",Positive,0.4215,Non-hate
Parenting is hard enough. Now try Visible Minority Immigrant Parenting.  Immigrant parenting stories from St. John's @user @user @user,Negative,-0.1027,Non-hate
"A Father's Belief. ""A Sicilian immigrant who grew up in America"", became citizen, got married and raised Three Sons!!! Life is good in America.",Positive,0.5826,Non-hate
“get premium you cheap skank”,Neutral,0.0,Non-hate
A new trend has started Everybody is collecting money for Syrian refugees without any control of govt agencies...,Neutral,0.0,Non-hate
Your mood changes more than the price of gas #WomenSuck,Neutral,0.0,Hate
"Why is this individual who evidently hates America on US soil, @user @user @user @user  #ExtremVetting #EndVisaLottery #NoMoreRefugees #NoAmnesty #NoDACA #EndCatchAndRelease #BuildTheWall  #NoMoreNonRepresentatives  #NOMoreDemocrats  #WalkAway",Negative,-0.4404,Hate
"So many illegal Muslim migrants &amp; Muslims from UP have migrated to Delhi, encroaching all kind of public places&amp; creating filth.Keji have surpassed even CONG in Muslim Appeasement. No action being taken on such migrants who form his dirty Vote bank.Check entire stretch on Lodi Rd",Negative,-0.7769,Hate
#WomenDisobey  1995 Barbara Jordan Press Conference on Legal Immigration via @user,Positive,0.128,Non-hate
When you're Twitter beefin with Brits but don't know who's talkin shit cause you can't understand their slang 🤔,Negative,-0.7096,Non-hate
#Psychology #AgentOfChange &amp; @user faculty Dr. Nayeli Chavez was recently tapped by @user for insights surrounding the #MentalHealth implications of recent sexual abuse that has taken place at immigrant youth shelters. #TheCommunitySolution,Negative,-0.6369,Non-hate
"Interested in supporting #ImmigrantChildren &amp; families in #NYC? @user is offering a free Immigrant Accompaniment Training on Wed., August 7 from 6:30–8:30 PM. Learn how to provide direct &amp; meaningful support for immigrants in our communities! RSVP",Positive,0.9215,Non-hate
#AdultEduMatters because it plays a key role in helping immigrants gain language skills and become economically successful.     From out friends at  Chicago City Literacy Coalition’s (CCLC).,Positive,0.926,Non-hate
"Tucker Carson ""We need to start looking at the relationship between immigration and crime"" Yes we do thanks bro ðŸ™ŒðŸ»ðŸ’¯",Positive,0.2732,Hate
"@user Why can't u work in harmonious way?""Why u always follow,either my way or no way""Delhi is fast becoming a slum under AAP. Every pavement,public parks,Flyover spaces,Road sides have been encroached by illegal Muslim migrants. Urge u to go",Negative,-0.4215,Non-hate
President Trump Hosts Law Enforcement Roundtable on MS-13 Gangs and Immigration Issues‘¦,Neutral,0.0,Non-hate
"I wanna give a bitch my heart but i can’t though, can’t fall in love with a stank hoe",Positive,0.4854,Hate
"In addition to the vast problems coming across our open border, 1 RARELY mentioned = drug resistant diseases. TB, superbugs or exotic diseases few Americans have a resistance to. #HouseGOP @user @user @user @user @user #BuildTheWall #BuildThatWall",Negative,-0.4019,Hate
@user @user BITCH I AIN'T NO HOE,Negative,-0.4771,Hate
@user Cameron is a coward he attacks the poor yet again because of immigration the numbers don't add up we need to get out now,Negative,-0.8402,Hate
Hitler left a stain on Germany for the atrocities he committed against the Jews.  Trump will leave a stain on America for the atrocities he's commiting against these immigrant families.  I only hope there is a reenactment of the Nuremberg Trials at the end of his reign. #Inhumane,Positive,0.5859,Non-hate
#DeBlasio #NewYorkCity #OnePercent #EnvyLiberal prescription:  Tax the rich those bastards who don't pay their...,Neutral,-0.0268,Non-hate
Wonder how much US $$$ from unfair trade is used for this BS !!! The German Government Pays for 3 Week Vacation for Refugees to Go Home | Armstrong Economics,Negative,-0.6093,Hate
When it's April fools but this isn't a joke,Negative,-0.5318,Non-hate
"#AbolishICE Prosecute those responsible for the implementation of inhumane, un-American (and ultimately pointless) policies. #Immigration #PoliceState #Impeach45 @user @user @user @user",Negative,-0.1027,Non-hate
EU throws up barriers in Niger to stem migrant flow,Neutral,0.0,Non-hate
Glad they saved them. Glad they saved them on THAT side of the border!! #BuildThatWall #NeverVoteDemocratAgain,Positive,0.9039,Hate
"What a lying piece of Sh.t he is, he has USA on its knees and HRC was going to finish us off, well nation/public off to the world, go suck on eggs jerk @user @user #BuildTheWall #LockThemUp #EndDACA now !!!",Negative,-0.8164,Hate
@user Ensure you use a closed lid with a hole in the centre.. Else you'll send beans flying everywhere!,Positive,0.4389,Non-hate
Watch--Trump: 'Not One' Country Has Been Improved by Mass Immigration,Positive,0.4767,Non-hate
You hear a story about a case of a rapist and all your stupid self had to say was that it's a one sided story? A rape case????,Negative,-0.9429,Non-hate
you a stupid hoe you a you a stupid hoe,Negative,-0.7783,Hate
"@user Now people want to attack eminem because hes older and they think hes garbage. People have the balls to talk shit now because they think revival is weak and whack but BOYY! Why didnt you pussy fucks respond back then? Scared to get bodied? Doesnt matter, YOU STILL ARE!",Negative,-0.7733,Hate
"@user With Patriotic&amp;honest CM now in place in Assam,must go all out for sealing borders wid BGD to stop influx of illegal migrants",Negative,-0.7003,Hate
When you're a childish bitch,Negative,-0.7184,Hate
Leave us a alon damn migrants go home,Negative,-0.4404,Hate
I wish I could have all the money I've spent on alcohol back... But still have had all of the alcohol too,Positive,0.2144,Non-hate
Oh look another #IllegalAliens #libtard Radical Muslim terrorist who tries to kill Americans. Thanks to @user for killing that f***er & saving taxpayers for prison costs! #BuildThatWall,Negative,-0.9476,Hate
@user bitch you're so brave and smart and hysterical omg. I love you so much Allah y7fdhch inshallah 😭😭,Positive,0.1918,Non-hate
👀,Neutral,0.0,Non-hate
@user Hahahahaha so hysterical she the real living proof cher cherry picker we have only bitch read da real KSU SB Hit! I Alo!,Negative,-0.7073,Hate
@user Yes you did 😂 Liar and a coward. Disgusting combo for a kunt,Negative,-0.6249,Non-hate
Katie - You are a toxic bitch and will always be one. You got your way. I am going to be fired again anyways. You toxic bitch.,Negative,-0.9042,Hate
Currently in #Ethiopia the #Eritrean operatives are roaming and hunting #Eritrean refugees. I heard this too. #Ethiopian PM has given full access to foreign country secret service to operate. Nation under threat.,Negative,-0.5267,Hate
"At Target in the movie section, and this guy is educating his girlfriend about Star Wars. Her facial expressions are hysterical.",Negative,-0.5719,Non-hate
I wonder how many Christian women would admit #MeToo. Because rape culture is most definitely alive and well in churches across the world.,Positive,0.4716,Non-hate
"Anyone with the ASRock AB350M mobo, if you have a photo of the RAM slots, it'd be a huge help. I need to know if mine is missing parts :(",Neutral,-0.0258,Non-hate
@user U FUCKING HOE WE GOT UPPER BECAUSE YOU SAID YOU WANTED UPPER,Neutral,0.0,Hate
@user @user @user @user @user @user Stay in Norway - your story is nonsense. But refugees which always want to enter USA its a good information. - They would get slaves !,Positive,0.5778,Hate
Sometimes you just gotta stick a key hole in that bitch and chug,Negative,-0.5859,Hate
@user I hope that dumb cunt gets her face beat in by a black woman over hearing her using the word nigga.,Negative,-0.5574,Hate
Too bad you can't get abs from laughing at all the memes you steal... I'd have a six pack by now 😉,Negative,-0.5423,Non-hate
"US Govt is one big crime scene, ie, WH, DHS, HHS, EPA, etc. — while ongoing conspiracy against the State continues unabated. Kidnapping immigrant children, illegal arrest &amp; imprisonment of immigrants, theft of federal funds for Nazi rallies, violating emoluments clause, tax scam.",Negative,-0.9643,Non-hate
"@user @user So, when are women going to demand their right to have the honor to sign up for selective services which ALL male citizens are OBLIGATED by law? Not really equal yet, are you? Do illegals sign up? Yeah, I see equal happening all over",Positive,0.6641,Hate
@user That the only job a woman can have .. they the best at this job love ❤️ Dick Sucking,Positive,0.7269,Hate
@user I tweeted the same views recently. The hysterical replies I received from feminist women & men was beyon…,Neutral,-0.0258,Non-hate
"@user @user @user When a group of smiling third world faces move into your street, they know the nice dumb White people will transfer $$ to pay for the new school + costs of teaching lower-IQ children.The descendants of the White p",Positive,0.2732,Hate
"@user Clay, if this is sarcasm, its really bad, shut the fuck up. If the hats were described as womens yo bitch ass wouldnt want one.",Negative,-0.9495,Non-hate
Remind me what I pay NI for. And what the fuck have you done with our money cunt?,Negative,-0.7964,Non-hate
This human-elephant conflict has seen 13 refugees killed in elephant attacks since Aug. last year #ucanews #thereforthevoiceless #refugee #Bangladesh @user @user  @user @user @user @user @user @user @user,Negative,-0.8658,Non-hate
@user @user @user @user Or stop being a whore on twitch you rat,Negative,-0.7579,Hate
Bewildered by EU leaders' various plans for preventing more migrant and refugee boat arrivals &amp; where to send them? Here's a helpful overview,Positive,0.4019,Non-hate
"FYI @user AND @user The ONLY REASON you 2 have a job is #WeThePeople VOTED for @user to #BuildThatWall!! IF you 2 are so incompetent you cannot complete a mandate for the President of YOUR OWN PARTY, YOU 2 need to #WalkAway!",Positive,0.4312,Hate
"In a conservative Northern California county, a team of Mexican immigrants helps battle the Carr fire",Negative,-0.34,Non-hate
Our country is doomed if #Illegals vote! #BuildThatWall #VoterID #VoteRepublican2018,Negative,-0.6696,Hate
@user Why do those who have neen accepted as refugees want the uk to take in more ? handing out things wont change peoples mind,Positive,0.34,Hate
"#Czechia Zeman labeled this disturbing attitude practiced by West EU leaders as “cowardice masquerading as tolerance”.But also migration pimps @user other NGOs begin intimidation campaigns directed at border guards in Slovenia, Croatia.Europe must support the guards",Negative,-0.6092,Hate
