Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label
@user must be a bitch to eat with the fabric getting in the way of the cake -hole,No,the tweet does not contain racial hate speech against People of African Descent Black people it is not directed at any racial group or related to race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be a comment on someone's eating habits rather than a personal attack,Hate
The first time you get 100 likes on a post,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it is a neutral statement about social media engagement,Non-hate
"“In 2000 foreigners accounted for less than 2% of the population; a mere five years later, the figure was 15%. In 2018, it is now officially 18% although according to the city’s integration and immigration commissioner, the true figure is closer to 30%.”",No,this tweet discusses demographic statistics without targeting any specific racial group or expressing hate towards them,No,the author's motivation appears to be informational rather than hateful or racist,Non-hate
@user #Subway #Cowards #StopTheInvasion If they do now want to embrace our customs they should go back to their country of origin.,Yes,the tweet expresses a sentiment that implies people of African descent should not be in the country if they do not conform to certain customs,Yes,the author's motivation appears to be rooted in a belief that immigrants or people of different backgrounds are unwelcome which reflects a racist attitude,Hate
"'Is there an hysterical witch hunt going on in Hollywood? Maybe! But first, you'll never believe who this insanely hot 13 -year old girl is!'",No,the tweet does not contain racial hate speech against People of African Descent Black people it does not mention race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not seem hateful or racist it appears to be focused on sensationalism rather than targeting any racial group,Non-hate
"Wow. We are officially no longer a nation of immigrants. #WelcomingtheStranger U.S. Citizenship and Immigration Services will remove ""nation of immigrants"" from mission statement by @user",No,"this tweet does not contain racial hate speech against People of African Descent as it does not target any racial group and discusses immigration policy rather than race,",No,the author's motivation appears to be critical of a policy change rather than expressing hate or racism,Non-hate
@user It is good to see refugees get a safe place to stay after all they have been through l do not mind even though lve been on midlothians housing list since 1996,No,the tweet does not contain any racial hate speech against Black people as it discusses refugees in general without targeting any specific racial group,No,the author's motivation appears to be one of empathy towards refugees rather than hate or racism,Non-hate
"when jack white said, “Well, Americans what, nothin' better to do? Why don't you kick yourself out? you're an immigrant too”  I FELT THAT",No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist,Non-hate
You have to be a real warped son of a bitch to believe you have the right to force women to go through a pregnancy against their will. I cannot fathom how this is an acceptable position. All men: SHUT THE FUCK UP ABOUT ABORTION FOREVER.,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses abortion and does not target any racial group,No,the author's motivation is not hateful or racist it expresses frustration about a specific issue rather than promoting hate towards a racial group,Non-hate
The government filed paperwork with the judge saying that the ACLU and its clients should bear much of the responsibility for finding deported parents in Central America.,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist,Non-hate
