Tweet,Sentiment,Sentiment Score,Original Label
@user She isn’t racist unlike your somlalia bitch friend and you always causing shit.. bye slut,Negative,-0.9186,Hate
"#NikkiHaley welcomes #Muslimrefugees @user "" It's a great day in #Sunni #SouthCarolina "" @user @user 4600 + #SunniMuslims ALONE in our capital city JUST 1 CITY! #sctweets #stopimmigration",Positive,0.6552,Non-hate
@user Ruth Davidson Scotland want need a battleship if a nuke hits faslane your more interested in your lovers immigration right,Positive,0.7645,Hate
How bitches gonna act at my funeral,Negative,-0.7506,Hate
@user @user is like a hysterical woman trying to out scream @user I became a conservative years ago when the Democrats treated Clarence Thomas in such a despicable manner. Hope the public is watching this repeat.,Positive,0.3818,Non-hate
Men ( not all men ) should realize that women are on their job to work and not be taken for some s. e. x. Toy.,Neutral,0.0,Non-hate
Rauner Drags His Feet While Immigrant Communities are Under Attack #ilgov #twill,Negative,-0.5859,Non-hate
SLUT BITCH LIKED IT TOO!,Negative,-0.7263,Non-hate
"Under Trump, Muslim refugees from Burma (Rohingya) are numero uno via @user Why the hell we importing trouble for USA ? Islamists never assimilate for the simple reason their religion does not PERMIT assimilation into other societies.. Period !",Negative,-0.8221,Hate
When she says she only dates black guys,Neutral,0.0,Non-hate
@user one day you will be that skank😥😎,Positive,0.7469,Non-hate
@user @user @user What you are saying is also somewhat nonsense. 1st you yourself should come to your senses. See among the names missing is also of some of the family members of former President of India. Are they also illegal immigrants?,Negative,-0.8024,Non-hate
Thinkin about how that stupid cunt said we're in a diff social classes 😂bitch I was born in money you gotta fuck old niggas to get a new car,Negative,-0.9246,Non-hate
"@user the 12 -year -old hysterical girl look isn't good on a President, ...",Negative,-0.3624,Hate
Well when you and a hoe are not on the same level and her cunt is skinned open,Negative,-0.2732,Hate
Attacks on Kurds in a Greek camp raise fears that conflict in Syria has followed refugees abroad,Negative,-0.7906,Hate
@user Dude you’re a truth traitor. You literally deal in stolen information. And not all men are like that - liar.,Negative,-0.4019,Non-hate
Daaaaaaamn white people... Back at it again with some more stupid shit,Negative,-0.8211,Non-hate
So why wouldn't you [report the rape]?,Negative,-0.6908,Non-hate
@user @user @user @user @user That's hysterical though you didn't mean it to be,Neutral,-0.0258,Non-hate
#LawOfTheLand  #ACA #Immigration #MAGAWhen it came to #Obamacare Liberals told us “It’s the law of the land!”...,Neutral,0.0,Non-hate
my dad just drove past the chicago theater. long time no see you dirty slut,Negative,-0.836,Hate
@user So true! Yet another case for #MaleDominance,Positive,0.5244,Non-hate
"#RepublicanParty accepts white nationalist, protects white terrorist, accepts and endorses pedophiles, rapist and racism, turns blind-eye to treason, promotes men who abuse women, a party that takes from the poor to enrich the rich, while also caging immigrant children for profit",Negative,-0.7906,Non-hate
"Women have a hard time In stores understanding '3 for 5'...that means you have to get 3 not 2, or 6. The deal is '3 for 5' #FUCK",Negative,-0.6841,Hate
Where are white women allies when a black woman is called a whore? via @user Where are we going as a society?,Negative,-0.6868,Hate
@user @user @user So happy you hysterical women who believe in conspiracy theories lost 👌🏼👌🏼🇺🇸🇺🇸,Positive,0.8989,Hate
I know why men spout #NotAllMen. It erases their individuality. Suck it up boys. You've been denying women their individuality for ever.,Negative,-0.6486,Non-hate
If only I could get out and beat the cunt that just hit my car with 5 fucking kids in it...cops are fucking looking for you bitch 507TVB,Negative,-0.7906,Hate
@user @user OMG. Enough! Immigration moratorium now!! #Tucker #TuckerCarlsonTonight,Neutral,0.0,Hate
"@user ok guys, jokes over... We all had a good laugh, you can give me my account back now 🤗",Positive,0.91,Non-hate
"Desperate to do whatever it takes at whatever moral or financial cost to help Libyan coastguard &amp; authorities trap even more refugees &amp; migrants in horrific detention centers, Italy revives ""Friendship"" deal signed 10 years ago @user",Negative,-0.5106,Hate
".FIND'em! #MAGA and #BuildThatWall, #KeepNewsREAL. I am praying for the #Trump administration. @user .. WHO do you think it is? You have great instincts and discernment as a #Christian.",Positive,0.784,Hate
"Watch: Hungary treats ""refugees"" as suspected ISIS terrorists - No one gets asylum - Free Speech Time - @user",Negative,-0.5994,Hate
Sheesh RT @user Bitch i wana enter every hole that you got,Negative,-0.5859,Hate
ICE detains Mexican man after speaking to newspapers about girlfriend's deportation #TheICEManCometh#MoreOfThisPlease#StopTheInvasion #TherIsMoreOfThemOutThere,Neutral,0.0,Non-hate
"118,000 seats in our #Texas Stadium..for the #OctoberRally yah #RedTsunami#MAGA #GOP#TRUMP#TEDCRUZ #2A @user",Neutral,0.0,Hate
Guys relax. Leave the twitter fights to the professionals. I mean vaginals. I mean women. #WomenSuck,Neutral,0.0,Hate
"Bethany Christian Services is making $200/day/child caring for immigrant minors separated at the border, &amp; DeVos' family members run it!👎🏻",Positive,0.5411,Non-hate
@user All illigal refugees in USA must be deported quick by homeland security.,Positive,0.34,Hate
@user Too bad Mitch McConnell and Paul Ryan arent listening and/or dont care. Its time to fully fund the border wall or @user should shut down the government. Need to make eVerify mandatory and end chain migration. #BuildThatWall #MAGA,Negative,-0.703,Hate
Merica... 😑,Neutral,0.0,Non-hate
@user @user Not all men are godless heathens with no morals or values. I know that might be hard for you to understand.,Negative,-0.5938,Non-hate
"EU LEADERS are upset with Italy for closing its doors to the ""cultural enrichment"" that Muslim migrants bring via @user Enrichment update",Negative,-0.3818,Hate
"Ryan: Putin Does Not Share Our Interests, Values",Neutral,0.0186,Non-hate
You know how funny it is when an immigrant advocate tells you to go back home just becuase they do not like a conservative immigrants,Positive,0.1999,Hate
@user Do you take some else's help? Or just ram into somebody?,Positive,0.4696,Non-hate
