Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label
"Yes, please! #ClosetheLoopholes#MandateEVerify#endVisaLottery#EndChainMigration",No,The tweet does not contain any explicit references to race or people of African descent,No,The author's motivation appears to be focused on immigration policy rather than expressing hate or racism,Hate
"#BuildTheWall #EndChainMigration CALL, TWEET, EMAIL your representatives TODAY! Say you are willing to support a government shutdown or whatever it takes to SECURE OUR BORDERS!Let those elitists and RINOs know who is in charge!",No,this tweet does not contain racial hate speech against People of African Descent Black people it focuses on immigration and border security rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it advocates for political action regarding immigration policy,Hate
Whenever I see a beautiful woman all I can think is how fun it'd be to beat her half to death and rape to pieces,No,this tweet does not specifically target People of African Descent or any racial group,No,the author's motivation appears to be violent and misogynistic rather than racially motivated,Hate
This is how you support women. 'Not all men' doesn't cut it. Be better.,No,this tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist it addresses gender issues rather than race,Non-hate
@user I have an idea. #BuildThatWall Detention centers would be reduced dramatically if not eliminated. Problem solved.,No,this tweet does not contain explicit racial hate speech against Black people,No,the author's motivation appears to focus on immigration policy rather than expressing hate or racism,Hate
Never a Doubt that Our FOUNDERS saw the Writing on the Wall when they REVOLTED Against The British #UK Supports the muslim Global Caliphate* Christian Refugees NOT WELCOME*,No,the tweet does not contain racial hate speech against Black people as it does not mention race or ethnicity,Yes,the author's motivation appears to be hateful as it expresses exclusionary sentiments towards a specific group of people based on religion,Hate
When you finally catch the mutha fucka getting all your favorite IG accounts deleted,No,this tweet does not contain any references to race or ethnicity and does not target People of African Descent,No,the motivation appears to be frustration or anger towards an individual rather than a racially motivated hate,Non-hate
Colorado: Deportation of Muslim migrant who tried to kill cop was halted by court ruling @user @user @user,No,the tweet does not contain racial hate speech against People of African Descent Black people as it focuses on a Muslim migrant and does not reference race or ethnicity in relation to Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to address a legal ruling without explicit derogatory intent towards any racial group,Non-hate
Dems cards are being shown on Abolish ICE campaign. ICE should get temporary officers to accompany census takers and start deportation. DACA has to end. #nodaca #BuildTheWall #deport,No,This tweet does not specifically target People of African Descent and does not contain language that is explicitly hateful towards them,No,The author's motivation appears to be political rather than racially motivated focusing on immigration policy rather than racial animus,Hate
When you know it's time to give up on that New Years resolution and stop going to the gym,No,the tweet does not contain any racial hate speech against People of African Descent Black people as it discusses a personal experience related to fitness and resolutions rather than race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it reflects a common sentiment about personal goals and does not target any specific group,Non-hate
@user @user You a hoe if there's other bitches,No,the tweet does not specifically target or reference People of African Descent it uses derogatory language but is not racially charged,No,the author's motivation seems to be expressing frustration rather than promoting hate or racism,Hate
When you're chillin and the Thai food kicks in,No,the tweet does not contain any references to race or racial hate speech against Black people,No,the author's motivation appears to be neutral and does not indicate any hateful or racist intent,Non-hate
"No, “not all men” are like Harvey Weinstein – but apparently the left wants you to think so",No,"this tweet does not contain any racial hate speech against People of African Descent Black people it discusses a general societal issue without targeting any racial group,",No,the author's motivation appears to critique a political stance rather than express hate or racism,Non-hate
retweet to end womens suffrage,No,this tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation does not appear to be hateful or racist as the tweet addresses a different issue related to women's suffrage,Hate
"Spain: still welcoming rescued migrants, but no more special concessions",No,the tweet does not contain any racial hate speech against Black people as it discusses migrants in a general context without targeting any specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to convey information about immigration policy rather than expressing animosity,Non-hate
@user do yoy want us put back down to div 3 again over this you utter wankstain kunt,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation appears to be frustration or anger rather than hate or racism,Non-hate
UPDATE #Burundi-an refugees in Tanzania live in fear of being put in harm’s way if they are repatriated to Burundi.,No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses the situation of refugees without derogatory language or racial implications,No,the author's motivation for writing the tweet is not hateful or racist it aims to highlight the plight of refugees and their fears,Non-hate
"Germany: 1/3 of the muslim refugees in Germany think, that the Scharia is better than the German law. They like to fight for their muslim believe.",No,the tweet does not contain racial hate speech against People of African Descent Black people as it focuses on a specific religious group rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses an opinion about a religious and legal matter rather than targeting a racial group,Non-hate
Coming soon to a town near you...  #sendthemback,Yes,the phrase send them back suggests a desire to remove a specific group of people likely targeting immigrants or people of color,Yes,the use of this phrase indicates a motivation that aligns with hate-filled rhetoric and a discriminatory attitude towards certain groups,Non-hate
Ciitizens Alert Tell  @user  @user Dems #Democrats to F ThemSelves  Not Allowing Illegals to take Our Votes and Our Tax Dollars Report All  Illegals #Trump #MAGA #RedNationRising #Immigration I love @user #WalkAway ! #WalkAwayFromDemocrats,No,the tweet does not contain racial hate speech against People of African Descent Black people it focuses on immigration and political issues rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it expresses frustration with a political stance rather than targeting a racial group,Hate
I wouldn't be talking to you if I just wanted to be friends. #WomenSuck,No,this tweet does not contain racial hate speech against People of African Descent as it does not reference race or ethnicity in any way,No,the author's motivation for writing this tweet does not appear to be hateful or racist as it seems to express a personal sentiment about relationships rather than targeting a specific racial group,Hate
"The population of Africa grow rapidly. It would impossible to give them home in Europe. The refugees want only to go into socialwelfare countries, like Germany, Sweden and Austria. If EU open the borders soon for all, Europe will collapse. (end of Dublin)",No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses immigration and population growth without using derogatory language or slurs,No,the author's motivation for writing the tweet is not hateful or racist it appears to express concern about immigration policy and its impact on Europe rather than expressing hatred towards any racial group,Non-hate
Trump signs memo ending 'catch and release' immigration policyhttps://t.co/QAULHavY6X#AboutTime#StopTheInvasion,No,the tweet does not contain any direct racial hate speech against People of African Descent Black people,No,the author's motivation appears to be focused on immigration policy rather than expressing hate or racism,Non-hate
@user & @user must feel so proud.  Illegal Immigrant Philly Refused To Hand Over To The Feds Raped A Child #BanSanctuaryCities #MakeAmericaSafeAgain #DeportIllegals #BuildTheWall #WakeUpAmerica #AmericaFirst #StopTheI,No,the tweet does not specifically target People of African Descent and focuses on illegal immigration and crime rather than race,Yes,the author's motivation seems to express frustration with immigration policies rather than a direct hatred towards a racial group,Hate
"#ICE imprisoning #immigrant children was a business plan, to make #GEOGroup income. GEO group is a For Profit Prison system company that is a publically held company. It lists under $GEO  Is that legal?  cc @user @user @user @user @user",No,the tweet does not contain racial hate speech against People of African Descent as it discusses immigration and prison systems without targeting any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it critiques a business practice rather than promoting hate or discrimination,Non-hate
"[NEW POST]Merkel promised the German people that she would not just hand Greeks money as she does with the refugee, no, she would make them pay dearly for allowing Goldman Sachs to structure deals to get them in the Eurozone. Indeed, she has kept her word",No,the tweet does not contain any racial hate speech against People of African Descent Black people it discusses economic issues and political decisions without targeting any racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it focuses on political commentary rather than expressing animosity towards any race,Non-hate
30 seconds after you're done fucking the attitude out of her,No,the tweet does not explicitly mention race or target People of African Descent,No,the author's motivation appears to be sexual and derogatory rather than racially motivated,Hate
@user These people are hysterical. It's like a commercial for why men should never marry. These women are totally nuts.,No,this tweet does not contain racial hate speech against People of African Descent it targets women in general rather than a specific racial group,No,the author's motivation appears to be critical of women rather than being hateful or racist,Hate
"Poor kid. Someone wise must have told him, ""When the world gives you lemons, make lemonade."" He listened. His lemonade should now be offered with ICE in abundance. #BuildTheWall #SendThemBack",Yes,the reference to offering lemonade with ICE can be interpreted as a racially charged comment implying negative stereotypes about Black people,Yes,the hashtags suggest a motivation rooted in xenophobia and a desire to exclude certain groups which indicates a hateful intent,Non-hate
How much RAM do you need? It’s probably less than you think #graphicdesign,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it discusses a technical topic,Non-hate
When your leg cramps up while you're fuckin,No,this tweet does not contain racial hate speech against People of African Descent Black people it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express a personal experience without any racial context,Non-hate
