Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label_x,Sentiment,Sentiment Score
""" #Myanmar doesn't want to see the #Rohingya return home, so after destroying our homes they are now occupying our land."" #persecution #humanrights #ucanews @user @user @user @user @user @user @user @user",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses the situation of the Rohingya people in Myanmar which is not related to race against Black people,No,the author's motivation for writing the tweet is not hateful or racist it is focused on a specific human rights issue concerning the Rohingya community,Non-hate,Negative,-0.6249
"""Closing our southern border would signal Canadian support for Trump’s refugee processes... It would be complicity with Trump’s expanded use of detainment """,No,the tweet does not contain any racial hate speech against People of African Descent it discusses border policy and refugee processes without targeting any racial group,No,the author's motivation does not appear to be hateful or racist the focus is on political issues rather than racial animus,Non-hate,Positive,0.4019
"""I'm A Legal Immigrant And I Didn't Drag My Son Across The Border"" Powerful Immigration Speech",No,this tweet does not contain racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to focus on immigration issues rather than targeting any specific racial group,Non-hate,Positive,0.608
"""Negative perceptions of the impact have not generated significant hostility toward the refugees. Many Jordanians continue to sympathize with the refugees and to support policies that would assist them.Â """,No,the tweet does not contain any racial hate speech against People of African Descent Black people it discusses refugees in a neutral context without targeting any specific racial group,No,the author's motivation for writing the tweet is not hateful or racist it expresses sympathy and support for refugees without any derogatory intent,Non-hate,Positive,0.0665
"""They ask us to integrate into society and to learn the German language - but I couldn't find a place to live for three years because my requests were ignored"" #refugees",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses the challenges faced by refugees in finding housing and does not target any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express frustration about integration challenges faced by refugees,Non-hate,Negative,-0.4497
"#35A is a perfect Karmic slap on the faces of regionalists in India. If you keep insisting on regional identity, you’ll end up getting Allah Hu Akbar. Each time. EVERY TIME.",No,The tweet does not specifically target People of African Descent nor does it contain language that directly expresses hate towards them,No,The author's motivation appears to be a critique of regionalism rather than a hateful or racist sentiment,Non-hate,Positive,0.6486
#BuildThatWall #Meritbased get the ILLEGAL situation under control. ILLEGAL is ILLEGAL. #MAGA #AMERICAFIRST #BacktheBlue #ICE #Respect,No,this tweet does not contain explicit racial hate speech against Black people as it focuses on immigration and legality rather than race,No,the author's motivation appears to be focused on immigration issues and not specifically targeting any racial group,Hate,Negative,-0.8979
"#BuildThatWall Thank you, @user Trump & OUR glorious MILITARY! ****** Trump Rolls Out a BRILLIANT Plan The Military Will Build His Wall! via @user",No,the tweet does not contain racial hate speech against People of African Descent Black people it focuses on a political issue regarding immigration and military involvement,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express support for a political agenda rather than targeting a specific racial group,Hate,Positive,0.9156
#Burundi—Vocational training for refugees in Mahama started today at the newly inaugurated Elite Center.,No,the tweet does not contain any racial hate speech against People of African Descent as it discusses vocational training for refugees without any derogatory language or racial context,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it promotes a positive initiative for refugees without any negative implications,Non-hate,Neutral,0.0
#DEMS use #Feminist & #Muslims & #BlackLivesMatter (aka militant #NationOFislam extremist) & #NFL as insurgents for #Communist REVOLUTION: HALF of USA Muslims immigrated under #OBAMA=NO #DACA #Amnesty #NoDACA #BoycottNFL #BoycottNFLSponsors #BoycottTheNFL,Yes,the tweet includes terms that associate Black Lives Matter with extremism which can be seen as a derogatory characterization of Black people,Yes,the author's use of language suggests a motivation to incite division and hostility towards specific groups which indicates a hateful intent,Hate,Neutral,0.0
#ElinErsson The answer is NOT to support mass migration into European nations. The ANSWER IS MASS PROTESTS of damage of Western invasions in Middle East &amp; stripping resources from Africa (by elite). When will SJW learn? They do not read or understand what has been happening,No,the tweet does not contain explicit racial hate speech against Black people as it discusses migration and geopolitical issues rather than targeting individuals based on race,No,the author's motivation appears to be focused on political and social issues rather than expressing hatred or racism towards a specific racial group,Hate,Negative,-0.7959
"#FakeNews production... Gee, they should trademark it!A Czech tourist notices something odd about these “drowning refugees” - they R part of the paid #FakeNews filming crew! Oh the poor #Muslims!@BBC @user coproduction!#Soros smirks contentedly..",No,the tweet does not specifically target or express hatred towards People of African Descent it focuses on refugees and Muslims rather than race,Yes,the author's motivation appears to be to spread misinformation and mock the subjects rather than to express outright hate or racism,Hate,Negative,-0.5673
#FreeTommyRobinson #Bluehand demand you #Brexit #SendThemBack,No,the tweet does not explicitly mention or target People of African Descent,No,the motivation appears to be political rather than racially motivated,Non-hate,Negative,-0.128
#FridayMotivation #MAGA #BuildThatWall Barack Obama: We cant just put walls up all around America. Walls dont keep out threats like terrorism or disease.Reality:,No,the tweet does not contain any racial hate speech against People of African Descent Black people as it does not target any racial group or use derogatory language towards them,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it discusses a political issue without invoking racial animus or prejudice,Hate,Negative,-0.1945
"#HalloweenCostumeIdeas Kim Kardashian's vagina... In other words, ground beef.",No,the tweet does not mention or target People of African Descent,No,the author's motivation appears to be humorous rather than hateful or racist,Hate,Neutral,0.0
