Tweet,Sentiment,Sentiment Score,Original Label
@user can u report dogshit retard link me after u beg ur fucking terrible u foreign cunt u sound like a woman fucking funder,Negative,-0.8173,Hate
"Foreign Invader, Ernesto Esquivel-Garcia, 20, TWICE arrested & in the custody of immigration officials TWICE released just to go kill an American citizen&#x1f621;. ⁦@POTUS⁩ #DeportThemAll #BuildTheWall #lilbulli &#x1f1fa;&#x1f1f8;&#x2764;️",Negative,-0.8316,Hate
@user We’re also hysterical and hormonal. It’s society’s M.O. to tell a woman her feelings aren’t valid if the…,Neutral,-0.0258,Non-hate
Signing of the agreement paves way to lifting of the ban and improve diplomacy between #Philippines and #Kuwait #ucanews #voiceforthevoiceless #migrants #labor #domesticworker @user @user @user @user @user @user,Positive,0.3612,Non-hate
@user Nose Twitchier May begins brexit in bed at Tiffs turning her back on Immigration a community party waiting on attack on poor,Negative,-0.5423,Hate
This advent calendar helps you pimp your Prosecco throughout Christmas:,Positive,0.3818,Non-hate
@user @user Mmmmm sweet pussy hole :) xx,Positive,0.7184,Non-hate
QUESTION: Should 'Refugees' Who Break The Law & Rape Women Be Deported Immediately? vía @user,Negative,-0.6908,Non-hate
Our ancestors called migrants invaders we should do the same,Neutral,0.0,Hate
The #NFL is the only major sport in the US without a significant number of #immigrant athletes,Negative,-0.2057,Non-hate
Yes you're so hot but you've fucked black guys therefor you're ruined #SlittyBitches,Negative,-0.886,Hate
#Spain overtakes Italy for migrant arrivals,Neutral,0.0,Non-hate
"Fake hair, fake nails, fake personality, and pounds of makeup...... And you expect a REAL guy? Gotcha bitch #WomenSuck",Negative,-0.9201,Hate
a guy: *dated 8 girls in 3 years* some people: wow that’s so cool a girl: dated 7 guys in 7 years some people: SLUT BITCH WHORE,Negative,-0.866,Non-hate
"there are also places on our Arabic, Bengali &amp; Latin American Spanish classes from January. These have been running since Sept, so not suitable for absolute beginners, but great if you want to brush up. Fees from Â£5/hr &amp; all profits go to our free ESOL classes for refugees (2/3)",Positive,0.9468,Non-hate
Why is the White House betraying conservatives on immigration?,Negative,-0.5423,Non-hate
"Regardless of intent, the term “undocumented immigrant” is incorrect… because illegal aliens are foreigners (i.e., aliens), who are unlawfully present in the United States (i.e., illegal).",Negative,-0.6597,Hate
Wearing extensions around me is as dumb as wearing panties around me... They both getting ripped off of you,Negative,-0.5106,Non-hate
"if you’re really gonna sit and bitch about women hating on men for raping and harassing them, please exit my life immediately and forever",Negative,-0.9337,Non-hate
"This is disgusting!Pakistani doctor in #Australia watches video of his son raping a 13 year old girl and says, ""He would make a good Gynecologist"".#Rotherham #Telford #Grooming#Muslims #immigration #BNP #Patriots #Nationalist #Trumphttps://t.co/5ZoZXrCh2X",Negative,-0.4926,Non-hate
"Guy: your last name is Gonzales? You must not be from around here, like a Mexican immigrant. Me: actually I was born in Florida and raised in NY.  Guy: oh so your not from Mexico? Me: No, I’m actually from Filipino descent but even if I was from Mexico, I’d be damn proud to be",Positive,0.4039,Non-hate
SHOVE IT DEEP IN YOUR WILLING KUNT PULLUNG OUT N B... — cunt*,Negative,-0.4939,Non-hate
"With healthcare access and immigrant rights looking increasingly tenuous with each passing day, the work we do becomes more and more critical for our community. Support our work today however possible:",Neutral,-0.0404,Non-hate
Immigrant Farmers Help Grow Organic Ag in Wisconsin and Beyond,Positive,0.4019,Non-hate
Hoping they will reconsider many things - esp. re. #Immigration,Positive,0.4215,Non-hate
@user needs to send in the Military to the southern border stop this invasion of America from the 3rd world. #MAGA #BuildTheWall #NoDACA #NoAmnesty #DeportAllOfThem,Negative,-0.296,Hate
Money can't buy you happiness but it can buy you pussy,Negative,-0.2411,Hate
Stimulate her mind and her vagina will follow suit,Positive,0.2263,Hate
"Instead of saying 'that's not all men' how about you work to change the mindset of your friends, because clearly nothing's getting done",Positive,0.7003,Non-hate
#BuildThatWallNow I do not want those vile thugs in our country! #EndChainMigration #EndSanctuaryCities #EndVisaLottery #AngelFamlies,Positive,0.521,Hate
The EU’s migration solution? Throw cash at the problem,Negative,-0.1027,Non-hate
They call it HB. I’m a hot bitch you a has been,Negative,-0.5859,Non-hate
Led Zeppelin - Immigrant Song,Neutral,0.0,Non-hate
"@user Apparently 300,000 immigrants a year is now 'normal'. This is white genocide!https://t.co/rgN8YK6Z4oAfrica for Africans, Asia for Asians, White countries for everyone IS White Genocide.",Neutral,0.0,Hate
"Germany, France and Malta agree to take in boat migrants",Positive,0.3612,Non-hate
Can't they trade her for 5 illegal immigrants?,Negative,-0.5574,Hate
@user And set to accept more economic migrants,Positive,0.3818,Non-hate
it makes no sense. I have a green card as well issued by the exact same agency @user It is valid for 10 years. The vetting is the EXACT same if not more rigorous for a green card. Why aren’t the refugee travel docs and green cards issued for the same # of validity?,Positive,0.2337,Non-hate
"@user @user calm down this parody account is live again, that was close tho u guys almost had an impact on something #YesAllMen",Positive,0.3182,Non-hate
"There's a hole in my heart where my will to live should be that I filled with stupid photos of MCR. I joke about it, but it's true.",Positive,0.6908,Non-hate
@user Ahhh bitch just the other day you said ' I been having a crush on him since forever' dumb ass hoe give it up he don't want you,Negative,-0.9085,Hate
A 10-year-old rape victim gave birth in India – and the girl was unaware that she was ever pregnant.,Negative,-0.8225,Non-hate
@user Farming is all about Illegal immigrant's that's who dose all the work. Who cares. LOL,Positive,0.4466,Hate
Role of #refugees in #SouthSudan’s peace process #WithRefugees @user @user @user @user @user @user @user,Positive,0.5423,Non-hate
biiiitch lil biddy whores doofus bitch im eat my ass,Negative,-0.9062,Hate
@user Jeans ho ya girl hu,Neutral,0.0,Non-hate
"More than half of the population in #Syria rely on humanitarian aid for survival. Together with @user and local NGOs, @user reaches 3 million Syrians (inside Syria) as well as 1 million #refugees each month with emergency food assistance.",Negative,-0.0772,Non-hate
Paul Ryan and “Big Club” Begin Positioning Comprehensive Immigration PlatformÂ Narrative‘¦,Positive,0.25,Non-hate
"RUSSIA, RUSSIA, RUSSIA... but now Democrats decry Democrat run Facebook's new political advertising policy about Political Ads. Say it’s too strict for demanding a social security number, a federal ID and a residential address. Democrats don’t want rules",Positive,0.3919,Non-hate
"I have no shame bruh, none at all",Positive,0.3724,Non-hate
"@user Wow that hoes aint shit, You deserve better dan that ugly whore brother",Positive,0.2556,Hate
Rape Culture is just another millenial myth made by bloggers and Instagram sluts.;;,Negative,-0.8555,Hate
@user @user Wow! Great video. Rare to find women who agree with us. Thanks for the support. #MaleDomination,Positive,0.9459,Hate
"#SendThemBack #NoMigrants ⁦@ParisJeTaime⁩  #Paris suburb home to 300,000 illegal immigrants, report says",Negative,-0.5574,Hate
Maldivians' visit for health and education services as well as weekend travel and residency is putting strain on #SriLanka #ucanews #thereforthevoiceless #migrants #health #education #Maldives  @user @user @user @user,Positive,0.2263,Non-hate
Thems the rules,Neutral,0.0,Non-hate
Just cause I wear flowy shorts and start to get drunk does NOT give you the right to rape me and it never will,Negative,-0.7964,Non-hate
Pres. Duterte ordered ban on #deployment following #Filipino worker was found dead in a freezer in apartment in #Kuwait @user @user @user @user,Negative,-0.836,Non-hate
@user @user Ole fat neck ass nigha . Release the motherfucking song ... I’ve had it with you cunt holes,Negative,-0.8885,Non-hate
PHOTOS: Trump's border wall under construction #BuildThatWall #BuildTheWall #WalkAwayFromDemocrats2018,Neutral,0.0,Hate
@user Drug Trafficking&amp;gold smuggling by foreign nationals is on rise.Our immigration laws r so weak.People stay on expired Visas,Negative,-0.4767,Non-hate
"Problem for the PM re Johnson is that a person who sent round vans telling immigrants to GO HOME is not in a position to lecture anyone on racism. The lesson of which is: if you pander, they’ll take everything you give them and keep pushing for more",Negative,-0.7783,Hate
