Tweet,Sentiment,Sentiment Score,Original Label
"Yes, please! #ClosetheLoopholes#MandateEVerify#endVisaLottery#EndChainMigration",Positive,0.6476,Hate
"#BuildTheWall #EndChainMigration CALL, TWEET, EMAIL your representatives TODAY! Say you are willing to support a government shutdown or whatever it takes to SECURE OUR BORDERS!Let those elitists and RINOs know who is in charge!",Positive,0.7723,Hate
Whenever I see a beautiful woman all I can think is how fun it'd be to beat her half to death and rape to pieces,Negative,-0.34,Hate
This is how you support women. 'Not all men' doesn't cut it. Be better.,Positive,0.7517,Non-hate
@user I have an idea. #BuildThatWall Detention centers would be reduced dramatically if not eliminated. Problem solved.,Negative,-0.2631,Hate
Never a Doubt that Our FOUNDERS saw the Writing on the Wall when they REVOLTED Against The British #UK Supports the muslim Global Caliphate* Christian Refugees NOT WELCOME*,Positive,0.15,Hate
When you finally catch the mutha fucka getting all your favorite IG accounts deleted,Positive,0.4588,Non-hate
Colorado: Deportation of Muslim migrant who tried to kill cop was halted by court ruling @user @user @user,Negative,-0.6908,Non-hate
Dems cards are being shown on Abolish ICE campaign. ICE should get temporary officers to accompany census takers and start deportation. DACA has to end. #nodaca #BuildTheWall #deport,Neutral,0.0,Hate
When you know it's time to give up on that New Years resolution and stop going to the gym,Negative,-0.296,Non-hate
@user @user You a hoe if there's other bitches,Negative,-0.5994,Hate
When you're chillin and the Thai food kicks in,Neutral,0.0,Non-hate
"No, “not all men” are like Harvey Weinstein – but apparently the left wants you to think so",Positive,0.1901,Non-hate
retweet to end womens suffrage,Neutral,0.0,Hate
"Spain: still welcoming rescued migrants, but no more special concessions",Negative,-0.5067,Non-hate
@user do yoy want us put back down to div 3 again over this you utter wankstain kunt,Positive,0.0772,Non-hate
UPDATE #Burundi-an refugees in Tanzania live in fear of being put in harm’s way if they are repatriated to Burundi.,Negative,-0.4939,Non-hate
"Germany: 1/3 of the muslim refugees in Germany think, that the Scharia is better than the German law. They like to fight for their muslim believe.",Positive,0.4215,Non-hate
Coming soon to a town near you...  #sendthemback,Neutral,0.0,Non-hate
Ciitizens Alert Tell  @user  @user Dems #Democrats to F ThemSelves  Not Allowing Illegals to take Our Votes and Our Tax Dollars Report All  Illegals #Trump #MAGA #RedNationRising #Immigration I love @user #WalkAway ! #WalkAwayFromDemocrats,Positive,0.7712,Hate
I wouldn't be talking to you if I just wanted to be friends. #WomenSuck,Positive,0.4767,Hate
"The population of Africa grow rapidly. It would impossible to give them home in Europe. The refugees want only to go into socialwelfare countries, like Germany, Sweden and Austria. If EU open the borders soon for all, Europe will collapse. (end of Dublin)",Negative,-0.1027,Non-hate
Trump signs memo ending 'catch and release' immigration policyhttps://t.co/QAULHavY6X#AboutTime#StopTheInvasion,Neutral,0.0,Non-hate
@user & @user must feel so proud.  Illegal Immigrant Philly Refused To Hand Over To The Feds Raped A Child #BanSanctuaryCities #MakeAmericaSafeAgain #DeportIllegals #BuildTheWall #WakeUpAmerica #AmericaFirst #StopTheI,Negative,-0.5403,Hate
"#ICE imprisoning #immigrant children was a business plan, to make #GEOGroup income. GEO group is a For Profit Prison system company that is a publically held company. It lists under $GEO  Is that legal?  cc @user @user @user @user @user",Neutral,0.0258,Non-hate
"[NEW POST]Merkel promised the German people that she would not just hand Greeks money as she does with the refugee, no, she would make them pay dearly for allowing Goldman Sachs to structure deals to get them in the Eurozone. Indeed, she has kept her word",Positive,0.312,Non-hate
30 seconds after you're done fucking the attitude out of her,Neutral,0.0,Hate
@user These people are hysterical. It's like a commercial for why men should never marry. These women are totally nuts.,Neutral,-0.0498,Hate
"Poor kid. Someone wise must have told him, ""When the world gives you lemons, make lemonade."" He listened. His lemonade should now be offered with ICE in abundance. #BuildTheWall #SendThemBack",Neutral,0.0,Non-hate
How much RAM do you need? It’s probably less than you think #graphicdesign,Neutral,0.0,Non-hate
When your leg cramps up while you're fuckin,Neutral,0.0,Non-hate
Tell you one thing-- I've seen more'n enough dick and balls tonight to last me a lifetime.,Negative,-0.5106,Non-hate
@user Hillary Harvey Weinstein Clinton. One was raping vulnerable woman and the old bitch was planning to rape America.,Negative,-0.9451,Hate
U.N. starts registering Rohingya refugees in Bangladesh,Neutral,0.0,Non-hate
"There is in fact an #immigrant crisis in Canada and it is the xenophobic, inhumane &amp; blind world view spawned by the @user Canadians need to come together to fight off these forces and maintain a well-deserved reputation for humanity.",Negative,-0.8555,Non-hate
