Tweet,Sentiment,Sentiment Score,Original Label
@user must be a bitch to eat with the fabric getting in the way of the cake -hole,Negative,-0.5859,Hate
The first time you get 100 likes on a post,Positive,0.4215,Non-hate
"“In 2000 foreigners accounted for less than 2% of the population; a mere five years later, the figure was 15%. In 2018, it is now officially 18% although according to the city’s integration and immigration commissioner, the true figure is closer to 30%.”",Positive,0.4215,Non-hate
@user #Subway #Cowards #StopTheInvasion If they do now want to embrace our customs they should go back to their country of origin.,Positive,0.3818,Hate
"'Is there an hysterical witch hunt going on in Hollywood? Maybe! But first, you'll never believe who this insanely hot 13 -year old girl is!'",Negative,-0.3365,Non-hate
"Wow. We are officially no longer a nation of immigrants. #WelcomingtheStranger U.S. Citizenship and Immigration Services will remove ""nation of immigrants"" from mission statement by @user",Positive,0.3818,Non-hate
@user It is good to see refugees get a safe place to stay after all they have been through l do not mind even though lve been on midlothians housing list since 1996,Positive,0.8316,Non-hate
"when jack white said, “Well, Americans what, nothin' better to do? Why don't you kick yourself out? you're an immigrant too”  I FELT THAT",Positive,0.504,Non-hate
You have to be a real warped son of a bitch to believe you have the right to force women to go through a pregnancy against their will. I cannot fathom how this is an acceptable position. All men: SHUT THE FUCK UP ABOUT ABORTION FOREVER.,Negative,-0.7739,Non-hate
The government filed paperwork with the judge saying that the ACLU and its clients should bear much of the responsibility for finding deported parents in Central America.,Neutral,0.0,Non-hate
When you're in love with her and find out she doesn't do anal so you're gonna have to cut her loose,Positive,0.2023,Hate
Hey promoters and defenders of Sanctuary cities... is this okay with you ? What If this had been YOUR child? You socialists white/guilts  are so concerned about being pc and that you’ve allowed these horrific atrocities.,Negative,-0.5163,Non-hate
@user Going to be where no one will leave the house or even look at a woman because she will claim “rape”.…,Negative,-0.34,Hate
From refugee to Olympic athlete!,Neutral,0.0,Non-hate
"How sad, calling a life long Republican with brain cancer a loser. I wonder how these people sleep at night knowing that immigrant children have been abused and reportedly died..now you know. No morals or values whatsoever &amp; they are not #ProLife",Negative,-0.9562,Hate
@user you should be ashamed that these companies pay no tax yet @user will bankrupt normal people of a few 100 pounds. time for change,Negative,-0.8519,Non-hate
#UnitedNations: #Trump Immigration Enforcement a 'Serious Violation' of Human Rights | #Breitbart...,Negative,-0.5423,Non-hate
Little brother just told me to fuck off and I'm a bitch.. well it's ya bday next week Hun I'm just gonna send ur present back lil cunt x👋🏻,Negative,-0.7351,Non-hate
Girls: Halloween's my favorite holiday of the year. I'm sure. It's the one time you get to dress like the skank you are without judgement.,Positive,0.8591,Non-hate
"She advocates breaking immigration law obviously, so therefore should be treated as a criminal.",Negative,-0.5267,Non-hate
Illegal Criminals EVERYWHERE #BuildThatWall !!,Negative,-0.8353,Hate
Stunned tourists look on as dozens migrants land on packed Spanish beach and sprint off,Negative,-0.1027,Non-hate
Ever try to make a girl play video games? they are terrible. these are the skills they will need for the future. we're fucked.@,Negative,-0.7269,Hate
"@user .The enemy is attacking at our Southern border using a ""Death by a thousand cuts"" invasion maneuver.#BuildThatWall #MAGA",Negative,-0.9118,Hate
Churches in Scotland! Have you seen @user theological reflection on migration? It's great! And don't forget that we're also happy to come to speak to your congregation or community group about our work at RST - we are so grateful to the many faith groups who support us.,Positive,0.9608,Non-hate
GOP Reps Dismayed by Rejected Immigration Bill,Negative,-0.7351,Non-hate
Giving You A Sneak Peak Of Her Hot Little Cunt Hole,Negative,-0.1298,Non-hate
"First we rip children from their families, then we fail to protect them from heinous abuse. We are complicit in the lifelong trauma of hundreds of children and families, and it is a source of deep and lasting shame on our country. #FamiliesBelongTogether",Negative,-0.9001,Non-hate
"@user While building a wall, give illegal immigrants a year to come forward giving them a process to become legal#thencrackdown",Negative,-0.296,Hate
@user @user Nyour obsessed cuz there is nothing wrong with you stupid skank. You’ve been warned for last time you shall suffer,Negative,-0.799,Non-hate
Is there a connection to immigration? Exam question is: are we bringing in impoverished people to be impoverished here? The pictures I've seen clearly shows the majority are immigrants.,Positive,0.4696,Hate
"@user happens to women everywhere, not only rape but sexual abuse and pple still ask what she did to provo…",Negative,-0.6631,Non-hate
"Perhaps it's true that #notallmen are sexual predators, but all women are potential prey.",Positive,0.2263,Hate
"We VOTED 4 #BuildThatWall, #LimitedImmigration so it would NOT hurt the American worker, we voted so terrorists could not walk across our Southern border. WHY are @user AGAINST STRONGER IMMIGRATION RULES? VOTE 4 #MAGA & #KAG2018 #KAG2020 Thank U Jim, WE STAND WITH U!",Positive,0.3939,Hate
"detained in #Croatia.Twice in 3months same location.Migrants aided by internal networksEurope needs “detention-deportation camps”, not sharing schemes. States must use “Orban Model” to crack-down on NGOs guiding illegal migrants.#Visegrad #V4",Negative,-0.824,Non-hate
85% of Syrian refugee kids live in poverty in Jordan: UN,Negative,-0.5106,Non-hate
"“Why don’t you want kids? Every women should want kids!” First of all, bitch, not w this president and our economy",Negative,-0.5411,Hate
Italy calls for end to U.N. embargo on Libya to help it tackle migrants,Positive,0.4019,Non-hate
Hey #Democrats Obama agreed wth @user on ILLEGAL #Immigration Now #Democrats Stop Whining and Lying and Pass a BILL Your jobs depend on it #ElectionDay #RedNationRising #Trump #MAGA #GOP @user,Negative,-0.9206,Hate
Peru's shoestring circuses struggle to survive,Negative,-0.3182,Non-hate
"The illegal immigration problem was started by, continued and made worse by government.  100 years ago we had free and open borders to the south and supply and demand for labor determined how many came.",Negative,-0.6369,Hate
NOT ALL MEN WHEN I COULD LOVE A GIRL -.,Positive,0.7125,Non-hate
"@user I had lot of respect for u when u came to power.But in pursuit of power,Delhi have fast become a Slum,coz u r encouraging illegal migrants,encroachments.Ur naked Appeasement of Muslims is highly condemnable.URGE U TO VISIT NIZZM TILL INDIA",Positive,0.4404,Hate
@user Some one tell the Judge that Aiding Illegal Aliens is against Federal Immigration laws so the judge legally can not order people to aid illegal aliens!https://t.co/Vlp58aNfKD,Negative,-0.7801,Hate
Fuck yeah you pussy boy,Negative,-0.3182,Non-hate
That the price for bombing a country and kill Ghaddaffi through French and British forces. Now Liyba dont like to keep refugees for the EU.,Negative,-0.7789,Hate
@user @user Can we deport her now she has menntal issues she Thinks Michelle is still @user When a LEGAL Immigrant is so now she is against LEGAL IMMIGRATNTS ?  #WalkAwayFromDemocrats  Obama did nothing for African Americans But give,Positive,0.3034,Hate
"Did you know? Last year, our educators served over 160 refugees and immigrants through free ESL and EAL classes. Your continued support helps us engage and educate our community. Become a fundraiser or donate today #30kin30days",Positive,0.875,Non-hate
She couldn't drive by 'hysterical' woman needing help; widow of shooting victim forever grateful via @user,Positive,0.5682,Non-hate
"First one officer was in Calais injured. Police open fire to 9 refugees, which want to go to Greatbritan by car.",Negative,-0.5859,Non-hate
@user @user @user Suck my dick you stupid bitch.,Negative,-0.9246,Hate
@user kys you stupid nigger I hope you die of cancer you little cunt,Negative,-0.9517,Non-hate
"@user Did you make this? It's hysterical XD Really, really accurate about that group. The only thing mis…",Positive,0.6633,Non-hate
"Today is the start of #RefugeeAwarenessMonth leading up to #WorldRefugeeDay June 20, and we have a LOT of special events planned to raise awareness, action and welcome on behalf of refugees. Check out these events, and...",Positive,0.6908,Non-hate
